ปีการศึกษา,รหัสนักเรียน,คำนำหน้า,ชื่อ,นามสกุล,ชั้นปี,ห้อง,เลขที่ในห้อง,ระดับ,สถานะ,ชื่อผู้ปกครอง,ความสัมพันธ์,เบอร์โทรผู้ปกครอง
2569,2569000001,เด็กชาย,ธนภัทร,ตั้งใจเรียน,1,ป.1/1,1,primary,active,นายผู้ปกครอง ตั้งใจเรียน,บิดา,082-222-1001
2569,2569000002,เด็กหญิง,มินตรา,ตั้งใจเรียน,2,ป.2/1,1,primary,active,นางผู้ปกครอง ตั้งใจเรียน,มารดา,082-222-1002
2569,2569000003,เด็กชาย,ปุณณวิช,ตั้งใจเรียน,3,ป.3/1,1,primary,active,นายผู้ปกครอง ตั้งใจเรียน,ผู้ปกครอง,082-222-1003
2569,2569000004,เด็กหญิง,ณิชา,ตั้งใจเรียน,4,ป.4/1,1,primary,active,นางผู้ปกครอง ตั้งใจเรียน,ญาติ,082-222-1004
2569,2569000005,เด็กชาย,กิตติพงศ์,ตั้งใจเรียน,5,ป.5/1,1,primary,active,นายผู้ปกครอง ตั้งใจเรียน,บิดา,082-222-1005
2569,2569000006,เด็กหญิง,อริสา,ตั้งใจเรียน,6,ป.6/1,1,primary,active,นางผู้ปกครอง ตั้งใจเรียน,มารดา,082-222-1006
2569,2569000007,เด็กชาย,พชรพล,ตั้งใจเรียน,7,ม.1/1,1,secondary,active,นายผู้ปกครอง ตั้งใจเรียน,ผู้ปกครอง,082-222-1007
2569,2569000008,เด็กหญิง,ชนัญชิดา,ตั้งใจเรียน,8,ม.2/1,1,secondary,active,นางผู้ปกครอง ตั้งใจเรียน,ญาติ,082-222-1008
2569,2569000009,เด็กชาย,วรเมธ,ตั้งใจเรียน,9,ม.3/1,1,secondary,active,นายผู้ปกครอง ตั้งใจเรียน,บิดา,082-222-1009
2569,2569000010,เด็กหญิง,กัญญารัตน์,ตั้งใจเรียน,10,ม.4/1,1,highschool,active,นางผู้ปกครอง ตั้งใจเรียน,มารดา,082-222-1010
2569,2569000011,เด็กชาย,นราวิชญ์,ตั้งใจเรียน,11,ม.5/1,1,highschool,active,นายผู้ปกครอง ตั้งใจเรียน,ผู้ปกครอง,082-222-1011
2569,2569000012,เด็กหญิง,พิชญาภา,ตั้งใจเรียน,12,ม.6/1,1,highschool,active,นางผู้ปกครอง ตั้งใจเรียน,ญาติ,082-222-1012
2569,2569000013,เด็กชาย,ศุภโชค,ตั้งใจเรียน,1,ป.1/2,1,primary,active,นายผู้ปกครอง ตั้งใจเรียน,บิดา,082-222-1013
2569,2569000014,เด็กหญิง,ธัญชนก,ตั้งใจเรียน,2,ป.2/2,1,primary,active,นางผู้ปกครอง ตั้งใจเรียน,มารดา,082-222-1014
2569,2569000015,เด็กชาย,ภูวนาท,ตั้งใจเรียน,3,ป.3/2,1,primary,active,นายผู้ปกครอง ตั้งใจเรียน,ผู้ปกครอง,082-222-1015
2569,2569000016,เด็กหญิง,แพรวา,ตั้งใจเรียน,4,ป.4/2,1,primary,active,นางผู้ปกครอง ตั้งใจเรียน,ญาติ,082-222-1016
2569,2569000017,เด็กชาย,อนาวิน,ตั้งใจเรียน,5,ป.5/2,1,primary,active,นายผู้ปกครอง ตั้งใจเรียน,บิดา,082-222-1017
2569,2569000018,เด็กหญิง,พิมพ์ชนก,ตั้งใจเรียน,6,ป.6/2,1,primary,active,นางผู้ปกครอง ตั้งใจเรียน,มารดา,082-222-1018
2569,2569000019,เด็กชาย,ชยุต,ตั้งใจเรียน,7,ม.1/2,1,secondary,active,นายผู้ปกครอง ตั้งใจเรียน,ผู้ปกครอง,082-222-1019
2569,2569000020,เด็กหญิง,ศศิธร,ตั้งใจเรียน,8,ม.2/2,1,secondary,active,นางผู้ปกครอง ตั้งใจเรียน,ญาติ,082-222-1020
2569,2569000021,เด็กชาย,ธนภัทร,สุขสวัสดิ์,9,ม.3/2,1,secondary,active,นายผู้ปกครอง สุขสวัสดิ์,บิดา,082-222-1021
2569,2569000022,เด็กหญิง,มินตรา,สุขสวัสดิ์,10,ม.4/2,1,highschool,active,นางผู้ปกครอง สุขสวัสดิ์,มารดา,082-222-1022
2569,2569000023,เด็กชาย,ปุณณวิช,สุขสวัสดิ์,11,ม.5/2,1,highschool,active,นายผู้ปกครอง สุขสวัสดิ์,ผู้ปกครอง,082-222-1023
2569,2569000024,เด็กหญิง,ณิชา,สุขสวัสดิ์,12,ม.6/2,1,highschool,active,นางผู้ปกครอง สุขสวัสดิ์,ญาติ,082-222-1024
2569,2569000025,เด็กชาย,กิตติพงศ์,สุขสวัสดิ์,1,ป.1/1,2,primary,active,นายผู้ปกครอง สุขสวัสดิ์,บิดา,082-222-1025
2569,2569000026,เด็กหญิง,อริสา,สุขสวัสดิ์,2,ป.2/1,2,primary,active,นางผู้ปกครอง สุขสวัสดิ์,มารดา,082-222-1026
2569,2569000027,เด็กชาย,พชรพล,สุขสวัสดิ์,3,ป.3/1,2,primary,active,นายผู้ปกครอง สุขสวัสดิ์,ผู้ปกครอง,082-222-1027
2569,2569000028,เด็กหญิง,ชนัญชิดา,สุขสวัสดิ์,4,ป.4/1,2,primary,active,นางผู้ปกครอง สุขสวัสดิ์,ญาติ,082-222-1028
2569,2569000029,เด็กชาย,วรเมธ,สุขสวัสดิ์,5,ป.5/1,2,primary,active,นายผู้ปกครอง สุขสวัสดิ์,บิดา,082-222-1029
2569,2569000030,เด็กหญิง,กัญญารัตน์,สุขสวัสดิ์,6,ป.6/1,2,primary,active,นางผู้ปกครอง สุขสวัสดิ์,มารดา,082-222-1030
2569,2569000031,เด็กชาย,นราวิชญ์,สุขสวัสดิ์,7,ม.1/1,2,secondary,active,นายผู้ปกครอง สุขสวัสดิ์,ผู้ปกครอง,082-222-1031
2569,2569000032,เด็กหญิง,พิชญาภา,สุขสวัสดิ์,8,ม.2/1,2,secondary,active,นางผู้ปกครอง สุขสวัสดิ์,ญาติ,082-222-1032
2569,2569000033,เด็กชาย,ศุภโชค,สุขสวัสดิ์,9,ม.3/1,2,secondary,active,นายผู้ปกครอง สุขสวัสดิ์,บิดา,082-222-1033
2569,2569000034,เด็กหญิง,ธัญชนก,สุขสวัสดิ์,10,ม.4/1,2,highschool,active,นางผู้ปกครอง สุขสวัสดิ์,มารดา,082-222-1034
2569,2569000035,เด็กชาย,ภูวนาท,สุขสวัสดิ์,11,ม.5/1,2,highschool,active,นายผู้ปกครอง สุขสวัสดิ์,ผู้ปกครอง,082-222-1035
2569,2569000036,เด็กหญิง,แพรวา,สุขสวัสดิ์,12,ม.6/1,2,highschool,active,นางผู้ปกครอง สุขสวัสดิ์,ญาติ,082-222-1036
2569,2569000037,เด็กชาย,อนาวิน,สุขสวัสดิ์,1,ป.1/2,2,primary,active,นายผู้ปกครอง สุขสวัสดิ์,บิดา,082-222-1037
2569,2569000038,เด็กหญิง,พิมพ์ชนก,สุขสวัสดิ์,2,ป.2/2,2,primary,active,นางผู้ปกครอง สุขสวัสดิ์,มารดา,082-222-1038
2569,2569000039,เด็กชาย,ชยุต,สุขสวัสดิ์,3,ป.3/2,2,primary,active,นายผู้ปกครอง สุขสวัสดิ์,ผู้ปกครอง,082-222-1039
2569,2569000040,เด็กหญิง,ศศิธร,สุขสวัสดิ์,4,ป.4/2,2,primary,active,นางผู้ปกครอง สุขสวัสดิ์,ญาติ,082-222-1040
2569,2569000041,เด็กชาย,ธนภัทร,เก่งกล้า,5,ป.5/2,2,primary,active,นายผู้ปกครอง เก่งกล้า,บิดา,082-222-1041
2569,2569000042,เด็กหญิง,มินตรา,เก่งกล้า,6,ป.6/2,2,primary,active,นางผู้ปกครอง เก่งกล้า,มารดา,082-222-1042
2569,2569000043,เด็กชาย,ปุณณวิช,เก่งกล้า,7,ม.1/2,2,secondary,active,นายผู้ปกครอง เก่งกล้า,ผู้ปกครอง,082-222-1043
2569,2569000044,เด็กหญิง,ณิชา,เก่งกล้า,8,ม.2/2,2,secondary,active,นางผู้ปกครอง เก่งกล้า,ญาติ,082-222-1044
2569,2569000045,เด็กชาย,กิตติพงศ์,เก่งกล้า,9,ม.3/2,2,secondary,active,นายผู้ปกครอง เก่งกล้า,บิดา,082-222-1045
