รหัสเจ้าหน้าที่,คำนำหน้า,ชื่อ,นามสกุล,อีเมล,เบอร์โทร,แผนก,ตำแหน่ง,สิทธิ์ในระบบ
T001,นางสาว,อรทัย,ใจดี,teacher1@school.com,081-111-1001,งานกิจการนักเรียน,ครู,teacher
T002,นาย,ปกรณ์,ใจดี,teacher2@school.com,081-111-1002,ประถมศึกษา,ครู,teacher
T003,นาง,วรรณา,ใจดี,teacher3@school.com,081-111-1003,มัธยมศึกษา,ครูชำนาญการ,teacher
T004,นาย,นิรันดร์,ใจดี,teacher4@school.com,081-111-1004,งานกิจการนักเรียน,ครูผู้ช่วย,teacher
T005,นางสาว,มัลลิกา,ใจดี,teacher5@school.com,081-111-1005,มัธยมศึกษา,หัวหน้าระดับ,teacher
T006,นาย,ธนากร,ใจดี,teacher6@school.com,081-111-1006,ประถมศึกษา,ครู,teacher
T007,นาง,ศิริพร,ใจดี,teacher7@school.com,081-111-1007,งานกิจการนักเรียน,ครูแนะแนว,teacher
T008,นาย,ชยพล,ใจดี,teacher8@school.com,081-111-1008,ประถมศึกษา,ครู,teacher
T009,นางสาว,กนกวรรณ,ใจดี,teacher9@school.com,081-111-1009,มัธยมศึกษา,ครูชำนาญการ,teacher
T010,นาย,ภาคิน,ใจดี,teacher10@school.com,081-111-1010,งานกิจการนักเรียน,ครู,teacher
T011,นางสาว,อรทัย,สอนเก่ง,teacher11@school.com,081-111-1011,มัธยมศึกษา,ครู,teacher
T012,นาย,ปกรณ์,สอนเก่ง,teacher12@school.com,081-111-1012,ประถมศึกษา,ครู,teacher
T013,นาง,วรรณา,สอนเก่ง,teacher13@school.com,081-111-1013,งานกิจการนักเรียน,ครูชำนาญการ,teacher
T014,นาย,นิรันดร์,สอนเก่ง,teacher14@school.com,081-111-1014,ประถมศึกษา,ครูผู้ช่วย,teacher
T015,นางสาว,มัลลิกา,สอนเก่ง,teacher15@school.com,081-111-1015,มัธยมศึกษา,หัวหน้าระดับ,teacher
T016,นาย,ธนากร,สอนเก่ง,teacher16@school.com,081-111-1016,งานกิจการนักเรียน,ครู,teacher
T017,นาง,ศิริพร,สอนเก่ง,teacher17@school.com,081-111-1017,มัธยมศึกษา,ครูแนะแนว,teacher
T018,นาย,ชยพล,สอนเก่ง,teacher18@school.com,081-111-1018,ประถมศึกษา,ครู,teacher
T019,นางสาว,กนกวรรณ,สอนเก่ง,teacher19@school.com,081-111-1019,งานกิจการนักเรียน,ครูชำนาญการ,teacher
T020,นาย,ภาคิน,สอนเก่ง,teacher20@school.com,081-111-1020,ประถมศึกษา,ครู,teacher
T021,นางสาว,อรทัย,มีเมตตา,teacher21@school.com,081-111-1021,มัธยมศึกษา,ครู,teacher
T022,นาย,ปกรณ์,มีเมตตา,teacher22@school.com,081-111-1022,งานกิจการนักเรียน,ครู,teacher
T023,นาง,วรรณา,มีเมตตา,teacher23@school.com,081-111-1023,มัธยมศึกษา,ครูชำนาญการ,teacher
T024,นาย,นิรันดร์,มีเมตตา,teacher24@school.com,081-111-1024,ประถมศึกษา,ครูผู้ช่วย,teacher
T025,นางสาว,มัลลิกา,มีเมตตา,teacher25@school.com,081-111-1025,งานกิจการนักเรียน,หัวหน้าระดับ,teacher
T026,นาย,ธนากร,มีเมตตา,teacher26@school.com,081-111-1026,ประถมศึกษา,ครู,teacher
T027,นาง,ศิริพร,มีเมตตา,teacher27@school.com,081-111-1027,มัธยมศึกษา,ครูแนะแนว,teacher
T028,นาย,ชยพล,มีเมตตา,teacher28@school.com,081-111-1028,งานกิจการนักเรียน,ครู,teacher
T029,นางสาว,กนกวรรณ,มีเมตตา,teacher29@school.com,081-111-1029,มัธยมศึกษา,ครูชำนาญการ,teacher
T030,นาย,ภาคิน,มีเมตตา,teacher30@school.com,081-111-1030,ประถมศึกษา,ครู,teacher
T031,นางสาว,อรทัย,รักเรียน,teacher31@school.com,081-111-1031,งานกิจการนักเรียน,ครู,teacher
T032,นาย,ปกรณ์,รักเรียน,teacher32@school.com,081-111-1032,ประถมศึกษา,ครู,teacher
T033,นาง,วรรณา,รักเรียน,teacher33@school.com,081-111-1033,มัธยมศึกษา,ครูชำนาญการ,teacher
T034,นาย,นิรันดร์,รักเรียน,teacher34@school.com,081-111-1034,งานกิจการนักเรียน,ครูผู้ช่วย,teacher
T035,นางสาว,มัลลิกา,รักเรียน,teacher35@school.com,081-111-1035,มัธยมศึกษา,หัวหน้าระดับ,teacher
T036,นาย,ธนากร,รักเรียน,teacher36@school.com,081-111-1036,ประถมศึกษา,ครู,teacher
T037,นาง,ศิริพร,รักเรียน,teacher37@school.com,081-111-1037,งานกิจการนักเรียน,ครูแนะแนว,teacher
T038,นาย,ชยพล,รักเรียน,teacher38@school.com,081-111-1038,ประถมศึกษา,ครู,teacher
T039,นางสาว,กนกวรรณ,รักเรียน,teacher39@school.com,081-111-1039,มัธยมศึกษา,ครูชำนาญการ,teacher
